Trial,Stimulus Type, Stimulus File, TrialMskAttn, Speaker Az,Speaker El,Galvo Az,Galvo El,Pointer Az,Pointer El
243,B,BB 200-20k 50ms.16,100,-24.877588,-0.009102,-39.902433,0.273321,6.647500,33.302293
244,B,BB 200-20k 50ms.16,100,-5.147259,-0.009102,-19.939633,0.273321,6.647500,31.272767
245,B,BB 200-20k 50ms.16,100,-27.369128,-0.009102,-27.425683,0.273321,6.647500,35.793733
246,B,BB 200-20k 50ms.16,100,19.903463,-0.008090,5.013867,0.273321,6.647500,29.588692
247,B,BB 200-20k 50ms.16,100,-24.875598,-0.009102,-19.939633,0.273321,6.647500,34.207075
248,B,BB 200-20k 50ms.16,100,-5.001985,-0.008090,-39.902433,0.273321,6.998500,-55.704089
249,B,BB 200-20k 50ms.16,100,-22.385053,-0.008090,-12.453583,0.273321,8.317500,28.806301
250,B,BB 200-20k 50ms.16,100,-7.553226,-0.009102,-37.407083,0.273321,8.317500,-44.970219
251,B,BB 200-20k 50ms.16,100,13.528345,-0.009102,11.252242,0.273321,8.317500,30.597678
252,B,BB 200-20k 50ms.16,100,-5.003975,-0.008090,-4.967533,0.273321,8.317500,27.357444
253,B,BB 200-20k 50ms.16,100,39.573096,-0.008090,39.948767,0.273321,8.317500,35.907407
254,B,BB 200-20k 50ms.16,100,6.216909,-0.008090,38.701092,0.273321,8.317500,-52.632486
